ts,leg,side,price,qty,mid_perp,micro_price,bid_px,ask_px,spread_bps,tfi,obi,base_half_spread_bps,min_half_spread_bps,one_sided_quote_policy,cancel_aggressive_policy,quote_distance_from_mid_bps,quote_distance_from_micro_bps,quote_distance_from_best_bps,aggressive_vs_best,directional_alignment,quote_lifetime_sec,end_reason,cancel_aggressive_count_during_quote,quote_fade_count_during_quote,tfi_fade_count_during_quote
1777018984.1140232,bid,buy,2312.65,0.21,2316.955,2316.9580716382857,2318.62,2318.63,0.04312900965105732,-0.0917605084178836,0.6205506278078562,18.0,18.0,current,current,18.58042128569539,18.593653855977685,25.748074285565554,passive_inside_book,neutral,0.23770856857299805,cancel_aggressive,1,0,0
1777018984.1140232,ask,sell,2320.9900000000002,0.25,2316.955,2316.9580716382857,2318.62,2318.63,0.04312900965105732,-0.0917605084178836,0.6205506278078562,18.0,18.0,current,current,17.41509869635064,17.401818406077794,10.178424328159851,passive_inside_book,neutral,0.23770856857299805,cancel_aggressive,1,0,0
1777019077.8043017,bid,buy,2309.77,0.21,2318.7650000000003,2318.7611936729813,2318.76,2318.77,0.04312640565026439,-0.8846934044279586,-0.8256807261078484,18.0,18.0,current,current,38.79220188333162,38.77585021482551,38.77072228260034,passive_inside_book,against_flow,0.2617943286895752,cancel_aggressive,1,0,0
1777019077.8053005,ask,sell,2322.28,0.25,2318.7650000000003,2318.7611936729813,2318.76,2318.77,0.04312640565026439,-0.8846934044279586,-0.8256807261078484,18.0,18.0,current,current,15.158931586425844,15.17537181759101,15.137335742657609,passive_inside_book,with_flow,0.26079559326171875,cancel_aggressive,1,0,0
1777024196.201842,ask,sell,2312.52,0.25,2308.995,2308.991329760629,2308.99,2309.0,0.043308885468432284,-0.9444444444444445,-0.6533690915186054,18.0,18.0,tfi_0p7,current,15.266382127289539,15.282301816771142,15.244694673018545,passive_inside_book,with_flow,,,,,
1777024246.5432324,ask,sell,2310.36,0.26,2306.935,2306.930001930688,2306.93,2306.94,0.04334755855807935,-1.0,-0.9990908961775024,18.0,18.0,tfi_0p7,current,14.846538805818899,14.868236428680595,14.824832895524256,passive_inside_book,with_flow,,,,,
1777024328.2742066,bid,buy,2303.58,0.21,2307.535,2307.539519764216,2307.53,2307.54,0.04333628742256795,1.0,0.9695596733497924,18.0,18.0,tfi_0p7,current,17.1395016760306,17.159055046739542,17.117870623568372,passive_inside_book,with_flow,,,,,
1777024397.990772,bid,buy,2304.36,0.21,2308.3450000000003,2308.348935333814,2308.34,2308.35,0.043321080686654426,0.9588386622565235,0.9236684039544723,18.0,18.0,tfi_0p7,current,17.263450654040565,17.280469485160932,17.241827460426183,passive_inside_book,with_flow,,,,,
1777024417.993054,bid,buy,2304.17,0.21,2308.3450000000003,2308.3456050996638,2308.34,2308.35,0.043321080686654426,0.9629629629629629,0.06541760959949473,18.0,18.0,tfi_0p7,current,18.0865511871067,18.08916780242452,18.06492977637641,passive_inside_book,with_flow,,,,,
1777024418.2439625,bid,buy,2304.34,0.21,2308.3450000000003,2308.348831022855,2308.34,2308.35,0.043321080686654426,0.9629629629629629,0.78770497334503,18.0,18.0,tfi_0p7,current,17.350092815415845,17.36666039802327,17.328469809473475,passive_inside_book,with_flow,,,,,
1777024418.4941952,bid,buy,2304.2400000000002,0.21,2308.3450000000003,2308.3468148962006,2308.34,2308.35,0.043321080686654426,0.9629629629629629,0.38386123680241324,18.0,18.0,tfi_0p7,current,17.783303622292237,17.791151960781278,17.761681554709916,passive_inside_book,with_flow,,,,,
